date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:14	4450/4450	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202012%2015:53:43%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/lettre1866.html	members.societe-jersiaise.org/geraint/jerriais/lettre1866.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:14	5863/5863	U-----	200	untouched ('OK')	text/html	date:Sun,%2026%20Apr%202015%2009:04:10%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/lettre1866b.html	members.societe-jersiaise.org/geraint/jerriais/lettre1866b.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:15	8472/8472	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:33%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfviertemps2.html	members.societe-jersiaise.org/geraint/jerriais/gdfviertemps2.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:16	9582/9582	U-----	200	untouched ('OK')	text/html	date:Sun,%2020%20Jul%202025%2017:12:02%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfatre2.html	members.societe-jersiaise.org/geraint/jerriais/gdfatre2.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:16	8249/8249	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20Jul%202025%2015:32:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfatre.html	members.societe-jersiaise.org/geraint/jerriais/gdfatre.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:16	7866/7866	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20Jul%202025%2015:32:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfatre5.html	members.societe-jersiaise.org/geraint/jerriais/gdfatre5.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:16	8569/8569	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20Jul%202025%2015:32:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfatre7.html	members.societe-jersiaise.org/geraint/jerriais/gdfatre7.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:17	7926/7926	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2015:46:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfesthepsi.html	members.societe-jersiaise.org/geraint/jerriais/gdfesthepsi.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:18	9456/9456	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20Jul%202025%2015:32:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfatre3.html	members.societe-jersiaise.org/geraint/jerriais/gdfatre3.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:18	8185/8185	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20Jul%202025%2015:32:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfatre6.html	members.societe-jersiaise.org/geraint/jerriais/gdfatre6.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
